Salad Bar,None,Y,Y,N,Y,N
Fruit and Yogurt Bar,None,Y,N,N,Y,N
Lebanese Lentil Soup with Orzo & Lemon,Middle Eastern,Y,N,N,Y,N
Zuppa Toscana,Italian,N,N,N,Y,N
Flavor Infused Water Station,None,Y,Y,N,Y,N
Fresh Whole Fruit,None,Y,Y,N,Y,N
White Bean Spinach Artichoke Casserole,Italian,Y,N,N,Y,N
Cioppino Seafood Stew,Italian,N,N,N,Y,N
Orzo Pasta with Olive Oil & Herbs,Mediterranean,Y,N,N,Y,N
Wilted Greens,None,Y,Y,N,Y,N
Gourmet Garlic Bread,Italian,Y,N,N,Y,N
Crispy Fried Onions,None,Y,Y,N,Y,N
Roasted Grape Tomatoes & Summer Squash,None,Y,Y,N,Y,N
French Fries,None,Y,Y,N,Y,N
Beef & Jackfruit Blended Burger,American,N,N,N,Y,N
Kale & Caramelized Onion,None,Y,Y,N,Y,N
Grilled Chicken Breast,American,N,N,N,Y,N
Vegan Meatball Sub,American,Y,Y,N,Y,N
Four Cheese Tomato & Pesto Sheet Pizza,Italian,Y,N,N,Y,N
Sicilian Style Sheet Pizza,Italian,Y,N,N,Y,N
Meat Lover's Sheet Pizza,Italian,N,N,N,Y,N
Chef's Choice Pizza/Flatbread,Italian,N,N,N,Y,N
Arrabbiata & Broccoli Rabe,Italian,Y,N,N,Y,N
Pasta with Roasted Red Pepper Alfredo,Italian,Y,N,N,Y,N
Dressing Asian Sesame (GF),Asian,Y,Y,N,Y,N
Honey Citrus Basil Vinaigrette,None,Y,Y,N,Y,N
Arugula Beet Radish & Goat Cheese Salad,None,Y,N,N,Y,N
Assorted Bread & Rolls,None,Y,N,N,Y,N
Chipotle Chicken Thigh,Mexican,N,N,N,Y,N
Taco Beef,Mexican,N,N,N,Y,N
Seasoned Black Beans,Mexican,Y,Y,N,Y,N
Tofurizo,Mexican,Y,Y,N,Y,N
Bowl Toppings & Condiments,None,Y,Y,N,Y,N
Steamed Brown Rice,Asian,Y,Y,N,Y,N
Macaroni & Cheese Bar,American,Y,N,N,Y,N
Vegetable Stir Fry,Asian,Y,Y,N,Y,N
Vegetable Mai Fun Noodles,Asian,Y,Y,N,Y,N
Massaman Chicken Curry,Thai,N,N,N,Y,N
Hot & Cold Beverages,None,Y,Y,N,Y,N
Fresh Baked Cookies,None,Y,N,N,Y,N
Fresh Baked Vegan Cookies,None,Y,Y,N,Y,N
Dole Fruit Soft Serve,None,Y,Y,N,Y,N
Cornell Dairy Ice Cream,None,Y,N,N,Y,N
