Overnight Oats with Blueberry & Banana,Dessert,Y,Y,Y,N,N
Coconut Chia Seed Pudding,Dessert,Y,Y,Y,N,N
Assorted Salad Bar Toppings,None,Y,Y,Y,Y,Y
Assorted Fresh Fruit,None,Y,Y,Y,Y,N
Cornell Yogurt,None,Y,N,Y,Y,Y
Assorted Salads,None,Y,Y,Y,N,N
Veggies & Greens,None,Y,Y,Y,Y,Y
Tabbouleh,Mediterranean,Y,Y,Y,N,N
Greek Salad,Mediterranean,Y,N,Y,N,N
Assorted Roasted Vegetables,None,Y,Y,Y,Y,Y
Herb Roasted Summer & Zucchini Squash,None,Y,Y,Y,N,N
Hearty Whole Grains & Legumes,None,Y,Y,Y,N,N
Assorted Salad Bar Toppings,None,Y,Y,Y,Y,Y
Salad Dressing,None,Y,N,Y,Y,N
Chicken Souvlaki,Mediterranean,N,N,Y,N,N
Fasolakia - Greek Green Beans with Feta,Mediterranean,N,N,Y,N,N
Lemon Rice,Mediterranean,Y,Y,Y,N,N
Oven Roasted Brussels Sprouts,None,Y,Y,Y,N,N
Customizable Iron Grill Stir-Fry,Asian,Y,Y,Y,N,N
House Made Pasta,Italian,Y,Y,Y,Y,N
Chef's Choice Pasta,Italian,Y,Y,Y,Y,N
Cheese Pizza,Italian,Y,N,Y,Y,Y
Pepperoni Pizza,Italian,N,N,N,Y,Y
Vegan Cheese Pizza,Italian,Y,Y,Y,Y,Y
Hungarian Beef Goulash,Hungarian,N,N,Y,N,N
Fasolakia - Greek Green Beans with Feta,Mediterranean,N,N,Y,N,N
Lemon Rice,Mediterranean,Y,Y,Y,N,N
Oven Roasted Brussels Sprouts,None,Y,Y,Y,N,N
Sweet & Spicy Sesame Korean Pork,Asian,N,N,Y,Y,N
Kimchi Fried Rice,Asian,N,N,Y,N,N
Vegetable Stir Fry,Asian,Y,Y,Y,Y,N
Fresh Whole Fruit,None,Y,Y,Y,Y,Y
Assorted Hot & Cold Beverages,None,Y,Y,Y,Y,Y
Flavor Infused Water Station,None,Y,Y,Y,Y,Y
Fresh Baked Vegan Cookies,Dessert,Y,Y,Y,Y,N
Fresh Baked Cookies,Dessert,N,N,Y,Y,N
Dessert Bars,Dessert,N,N,Y,N,N
Cornell Dairy Ice Cream,Dessert,Y,N,Y,Y,N
Dole Fruit Soft Serve,Dessert,Y,Y,Y,N,N
Assorted Cereals,None,Y,Y,Y,N,N
Waffle Bar,None,N,N,Y,N,N
