Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Grilled Beef Franks,None,N,N,N,Y,N,N,N,N,Y,N,N,N,N
Vegan Oatmeal Cranberry Cookie,Dessert,Y,Y,N,Y,N,N,N,N,N,N,N,N,N
Tofu Ratatouille,French,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N
Salad Corn Black Bean Roasted Kosher,None,Y,Y,N,Y,N,N,N,N,N,N,N,N,N
Quinoa Pilaf,Iranian,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N
"Egg Salad ",None,N,N,N,Y,N,N,N,N,Y,N,N,N,N
Chocolate Chip Cookies,Dessert,N,N,N,Y,N,N,N,N,N,N,N,N,N
Chicken Cacciatore,Italian,N,N,N,Y,N,N,N,N,Y,N,N,N,N
Sauteed Yellow Squash,None,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N
Vegetable Soup,None,Y,Y,N,Y,N,N,Y,N,N,Y,N,N,N
"Olive Oil Roasted Beets ",None,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y
Salad Bar,None,Y,Y,N,Y,N,Y,N,Y,N,Y
Fresh Cut Fruit,None,Y,Y,N,Y
"Cookies, Cakes & Desserts",Dessert,Y,Y,N,Y
Assorted Hot & Cold Beverages,None,Y,Y,N,Y,N,N,N,N,Y
