Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Buffalo Wings,American,N,N,N,Y,N,N,N,N,N,N,N,N,N
Seasoned Spiral Fries,American,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N
Herb Roasted Parsnips,None,Y,Y,N,Y,N,N,N,N,N,N,N,N,N
Fried Vegan Tenders,American,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,N
Fresh Burger Mix,None,Y,Y,N,Y,N,N,N,N,N,N,N,N,N
Bulgur Salad With Garbanzo Beans,Mediterranean,Y,Y,N,Y,N,N,N,N,N,N,N,N,N
Beef Chili,American,N,N,N,Y,N,N,N,N,N,N,N,N,N
Baked Beans,None,N,N,N,Y,N,N,N,N,Y,Y,N,N,N
Potato Hamburger Roll,American,N,N,N,Y,N,N,N,N,N,N,N,N,N
Assorted Burger Toppings,None,Y,Y,N,Y,N,N,N,N,N,N,N,N,N
Vegan Oatmeal Cranberry Cookie,Dessert,Y,Y,N,Y,N,N,N,N,N,N,N,N,N
"Egg Salad ",None,N,N,N,Y,N,N,N,N,Y,N,N,N,N
Chocolate Chip Cookies,Dessert,N,N,N,Y,N,N,N,N,N,N,N,N,N
Roasted Mushrooms,None,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N
Salad Bar,None,Y,Y,N,Y,N,Y,N,Y,N,Y
Fresh Cut Fruit,None,Y,Y,N,Y
Assorted Hot & Cold Beverages,None,Y,Y,N,Y,N,N,N,N,Y
