Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Vegan Tofu Lo Mein Stir-Fry,Chinese,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y
"MSC Miso Shallot Glazed Cod ",None,N,N,N,N,Y,N,N,N,N,N,N,N,Y
Steamed Jasmine Rice,Asian,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Harissa Roasted Broccoli,Moroccan,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
"Salsa Medium Tomato ",Mexican,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
Orecchiette Pasta,Italian,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
"Marinara Pasta Sauce ",Italian,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
Beef Meat Sauce,None,N,N,N,N,Y,N,N,N,N,N,N,N,N
Alfredo Sauce,Italian,Y,N,N,N,Y,N,N,N,N,N,N,N,N
Malted Vanilla Waffle Batter,None,N,N,N,N,Y,N,N,N,N,N,N,N,N
Lemon Honey Dressing,None,Y,N,N,N,Y,N,N,N,N,N,N,N,N
House Honey Balsamic Vinaigrette,None,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
Creamy Italian Dressing,Italian,Y,N,N,N,Y,N,N,N,N,N,N,N,N
Cranberry Apple Wheat Berry Salad,None,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
Buttermilk Ranch Dressing,American,Y,N,N,N,Y,N,N,N,N,N,N,N,N
Brown Rice & Vegetables,None,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
Vegetable Medley,None,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
White Corn Tortilla Chips,Mexican,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
"Vegan Chocolate Cake ",Dessert,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
Quinoa,NOne,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N
Cornell Corn Chowder,American,N,N,N,N,Y,N,Y,N,N,N,Y,N,N
Sliced Peaches in Juice,None,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N
Cottage Cheese,None,Y,N,N,N,Y,N,Y,N,N,N,N,N,N
Applesauce,None,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
Sesame Marinated Tofu,Asian,Y,Y,Y,N,Y
Cheddar Cheese Sauce,None,Y,N,Y,N,Y,Y,Y
Roasted Corn & Black Bean Salad,Mexican,Y,Y,Y,Y,Y,N,N,N,N,N,Y
Hot & Cold Beverage Service,None,Y,Y,Y,N,Y,N,Y
Healthy Style Salad Station,None,Y,Y,Y,N,Y,Y,Y,Y
Fresh Fruit Slices,None,Y,Y,Y,N,Y,Y,N,N,N,N,Y
Cornell Dairy Yogurt,None,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y
Steamed Jasmine Rice,Chinese,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Simply Steamed Corn,None,Y,Y,Y,Y,Y,Y,N,Y
Tuna Salad,None,N,N,N,Y,Y,Y,N,N,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Cornell Dairy Ice Cream,Dessert,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
Fresh Baked Cookies,Dessert,N,N,N,Y,Y,N,N,N,Y,Y,Y
