Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
"Nacho Cheese ",Mexican,Y,N,N,N,N,Y,N,N,N,N,N,N,Y
Mashed Red Skin Potatoes,None,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N
"Lentil & Potato Stew ",None,Y,N,N,N,N,Y,N,N,N,N,N,N,N
Guacamole,Mexican,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
Cheese & Bean Quesadilla,Mexican,Y,N,N,N,N,Y,N,N,N,N,N,N,N
Bar - Fajitas Topping Salsa,Mexican,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
Roasted Turkey with Gravy,American,N,N,N,N,Y,Y,N,N,N,N,Y,N,N
Chicken Quesadilla,Mexican,N,N,N,Y,N,Y,N,N,N,N,N,N,N
Garlic Green Beans,None,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N
Chef's Choice,None,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N
Sour Cream,None,Y,N,Y,N,N,Y,Y,Y,N,N,Y
"French Fries ",American,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y
Healthy Style Salad Station,None,Y,Y,Y,N,Y,Y,Y,Y
Fresh Fruit Slices,None,Y,Y,Y,N,Y,Y,N,N,N,N,Y
Cornell Dairy Yogurt,None,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y
Simply Steamed Corn,None,Y,Y,Y,Y,Y,Y,N,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
