Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Steamed Jasmine Rice,Asian,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Sliced Peaches in Juice,None,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N
Scrambled Tofu,None,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N
Sauteed Spinach,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Roasted Mushrooms,None,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N
Pancakes with Syrup,None,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N
Oatmeal with Brown Sugar & Raisins,None,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N
Non Dairy Whipped Topping,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Mini Cinnamon Twist,None,N,N,N,N,Y,N,Y,N,N,Y,N,N,N
Home Fries,None,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,N
Greek Egg Scramble with Lentils & Feta,Greek,N,N,N,N,N,N,Y,N,N,N,N,N,N
Garlic & Lemon Potatoes,None,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
Fresh Strawberries,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Fresh Cut Fruit Salad,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Fresh Blueberries,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Fresh Berry Medley,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Flour Tortilla Wraps,Mexican,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N
Cottage Cheese,None,Y,N,N,N,Y,N,Y,N,N,N,N,N,N
Cantaloupe Melon,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Bagels & Baked Goods,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Assorted Cereal,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Applesauce,None,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
Green Onion,N,None,Y,N,N,N,N,Y,Y,N,N,N,N,N
Grandy Oats Apple Crisp Granola,None,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N
Pork Breakfast Sausage,None,N,N,Y,N,Y,Y,Y,N,Y,Y
Thick & Chunky Salsa,Mexican,Y,Y,Y,N,N,N,Y,N,N,Y
Sour Cream,None,Y,N,Y,N,N,Y,Y,Y,N,N,Y
Seedless Red Grapes,None,Y,Y,Y,N,N,N,Y
Hot & Cold Beverage Service,None,Y,Y,Y,N,Y,N,Y
Steamed Jasmine Rice,Chinese,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
