Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Stewed Hungarian Beef,Hungarian,N,N,N,N,N,N,Y,N,N,N,N,N,Y
"Colorado Lamb Ragout ",Italian,N,N,N,N,N,N,Y,N,N,N,N,N,Y
Chicken Shawarma Pita Wrap,Middle Eastern,N,N,N,N,N,N,Y,N,N,N,N,N,Y
Steamed Jasmine Rice,Asian,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Fried Vegan Tenders & BBQ Sauce,American,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
Roasted Carrots,None,Y,Y,N,N,N,N,Y,N,N,N,Y,Y,N
Cornell Carrot Ginger Soup,None,N,Y,N,N,Y,N,Y,N,N,N,N,N,N
Roasted Sweet Potatoes,None,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N
Traditional Creamy Coleslaw,Polish,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N
Fresh Fruit Salad,None,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N
"Collard Greens ",American,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N
Korean BBQ Tofu,Korean,Y,Y,Y,N,N,Y,Y
Hot & Cold Beverage Service,None,Y,Y,Y,N,Y,N,Y
Healthy Style Salad Station,None,Y,Y,Y,N,Y,Y,Y,Y
Cornell Dairy Yogurt,None,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y
Steamed Jasmine Rice,Chinese,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Cornell Dairy Ice Cream,Dessert,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
Cheese Pizza,Italian,Y,N,N,N,N,N,Y,N,Y,N,Y
