Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Reuben PIzza,Italian,N,N,N,N,N,N,Y,N,N,N,N,N,Y
Steamed Jasmine Rice,Asian,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Pita Bread,Mediterranean,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N
Spicy Meatless Chick'n & Vegetables,None,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N
Sauteed Mushroom Peppers & Onions,None,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
"Roasted Mild Italian Sausage ",None,N,N,N,N,N,N,Y,N,N,N,N,N,N
Hoagie Rolls,None,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
Chicken Tikka Masala,Indian,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N
Caesar Salad,Italian,N,N,N,N,N,N,Y,N,N,N,N,N,N
Cornell Carrot Ginger Soup,None,N,Y,N,N,Y,N,Y,N,N,N,N,N,N
White Garlic & Cheese Pizza,Italian,Y,N,N,N,N,N,Y,N,N,N,N,N,N
Traditional Creamy Coleslaw,Polish,N,N,N,N,Y,N,Y,N,Y,Y,N,N,N
Fresh Fruit Salad,None,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N
Roasted Curried Cauliflower,Indian,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y
Lunch Sweets & Treats,Dessert,N,N,Y,N,N,N,Y
Hot & Cold Beverage Service,None,Y,Y,Y,N,Y,N,Y
Healthy Style Salad Station,None,Y,Y,Y,N,Y,Y,Y,Y
Cornell Dairy Yogurt,None,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y
Steamed Jasmine Rice,Chinese,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Steamed Rice Basmati,Indian,Y,Y,N,Y,N,N,Y,N,Y,N,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Cornell Dairy Ice Cream,Dessert,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
Waffle Bar,None,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y
