Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
"Simply Broccoli Beans Carrots & Peppers ",None,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N
"Sauteed Kale, Raisins & Sunflower Seeds",None,Y,Y,N,N,N,N,N,Y,N,N,N,N,N
Penne Florentine,Italian,Y,Y,N,N,N,N,N,Y,N,N,N,N,N
"Pasta Fagioli - Italian Bean & Pasta ",Italian,Y,N,N,N,N,N,N,Y,N,N,N,N,N
Pasta,Italian,Y,Y,N,N,N,N,N,Y,N,N,N,N,N
Orange Fennel Salad,None,Y,Y,N,N,N,N,N,Y,N,N,N,N,N
Lentil Bolognese,Italian,Y,Y,N,N,N,N,N,Y,N,N,N,N,N
Fruit & Yogurt Bar,None,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N
Chicken Parmesan,Italian,N,N,N,N,N,N,N,Y,N,N,N,N,N
Berrymisu,Dessert,Y,N,N,N,N,N,N,Y,N,N,N,N,N
Marinara Sauce,Italian,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y
Grated Parmesan Cheese,Italian,Y,N,Y,N,N,N,Y,Y,N,Y
"Pastries, Cakes & Desserts",Dessert,N,N,Y,N,N,Y,Y,Y
Healthy Style Salad Station,None,Y,Y,Y,N,Y,Y,Y,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Cornell Dairy Ice Cream,Dessert,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
Hot & Cold Beverages,None,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y
