Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Spicy Meatless Chick'n Caribbean Stew,Caribbean,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Roasted Tuscan Vegetables,Italian,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
MSC Pollock Veracruz,Mexican,N,N,N,N,N,N,N,N,N,N,Y,N,N
Cornell Manhattan Clam Chowder,American,N,N,N,N,N,N,N,N,N,N,Y,N,N
Cranberry Apple Wheat Berry Salad,None,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
Pinto Bean & Rice,Mexican,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Meatless Meatballs,Italian,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Chicken Fajita Filling,Mexican,N,N,N,N,N,N,N,N,N,N,Y,N,N
Cheddar & Monterey Jack Cheese Blend,None,Y,N,N,N,N,N,N,N,N,N,Y,N,N
Build Your Own Fajitas,Mexican,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Black Bean & Corn Salsa,Mexican,N,N,N,N,N,N,N,N,N,N,Y,N,N
Seaweed Sesame Egg Drop Soup,Asian,N,N,N,N,N,N,N,N,N,N,Y,N,N
Vegan Veggie Supreme Pizza,Italian,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Onions Diced Small,None,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Fresh Pico De Gallo,Mexican,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
"Vegan Chocolate Cake ",Dessert,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N
Steamed Brown Rice,None,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,N
Sliced Pears in Juice,None,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Shredded Lettuce,None,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Plain Hummus,Mediterranean,N,N,N,N,N,N,N,N,N,N,Y,N,N
Farfalle Pasta,Italian,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Chef's Choice Seasonal Vegetable,None,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N
Harvest Salad Bar,None,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Beverage Bar,None,Y,Y,N,N,N,N,N,N,N,N,Y,N,N
Vegetable Fried Rice with Tofu,Asian,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N
Flour Tortilla Wraps,Mexican,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N
Yellow Rice & Black Beans,Mexican,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N
Fresh Fruit Salad,None,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N
Cornell Dairy Ice Cream Bar,None,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N
Chicken & Vegetable Lo Mein,Chinese,N,N,N,N,N,N,N,N,N,N,Y,N,Y
Sour Cream,None,Y,N,Y,N,N,Y,Y,Y,N,N,Y
Sliced Jalapeno,None,Y,Y,Y,N,N,N,N,N,N,N,Y
Marinara Sauce,Italian,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y
Cornell Dairy Yogurt,None,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y
Pita,Mediterranean,Y,Y,N,Y,N,N,N,N,Y,N,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Dessert Bars,Dessert,N,N,N,N,N,N,N,N,Y,N,Y
Cheese Pizza,Italian,Y,N,N,N,N,N,Y,N,Y,N,Y
Fresh Baked Cookies,Dessert,N,N,N,Y,Y,N,N,N,Y,Y,Y
Waffle Bar,None,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y
